Name,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Energy Level,Intensity,Exercise Needs,Potential For Playfulness,Behaviour,b_physical,g_physical,Groups
Afador,1,1,3,3,4,2,4,2,3,1,4,3,2,3,4,4,1,5,4,4,4,4,4,4,4,3,2.0,4.0,4.0,2
Affenhuahua,4,4,4,1,2,3,4,3,2,2,2,1,4,4,5,1,3,3,4,2,4,2,4,3,3,3,3.0,3.0,3.0,1
Affenpinscher,5,4,3,1,3,3,5,1,4,3,1,1,3,4,3,1,2,4,4,3,2,2,4,3,3,4,3.0,2.0,3.0,1
Afghan Hound,5,3,5,2,5,5,5,5,4,2,4,1,1,3,1,4,1,4,3,5,2,5,5,2,4,4,4.0,2.0,4.0,0
Akbash,1,2,3,4,4,2,5,4,3,2,4,2,3,4,4,4,3,4,3,1,3,1,2,2,2,3,3.0,3.0,3.0,2
Akita,2,2,5,1,5,2,5,1,1,2,5,5,1,4,4,4,2,3,3,4,5,4,4,3,4,5,2.0,5.0,4.0,2
Akita Chow,2,1,4,2,5,2,1,1,1,2,4,3,1,2,4,4,2,4,3,4,2,3,4,4,4,2,2.0,4.0,4.0,2
Akita Pit,3,1,2,4,3,3,4,3,3,2,3,3,4,4,4,4,3,4,3,4,3,1,3,4,3,3,3.0,3.0,4.0,2
Akita Shepherd,3,3,2,3,4,3,4,3,3,3,4,2,3,3,3,4,4,4,2,3,1,2,3,3,4,3,3.0,3.0,4.0,2
Alaskan Klee Kai,3,2,4,2,5,2,4,3,2,2,4,2,4,4,2,2,4,4,2,5,3,4,4,2,4,4,3.0,3.0,4.0,2
Alaskan Malamute,1,1,4,1,5,2,4,3,2,5,5,1,1,4,3,4,4,4,3,4,5,5,5,5,5,5,3.0,3.0,4.0,0
American Bulldog,1,1,4,1,2,2,5,4,2,2,1,4,4,3,2,4,4,3,2,4,2,3,4,4,4,4,3.0,2.0,4.0,2
American English Coonhound,1,2,5,2,4,4,5,5,4,5,3,1,5,4,3,3,5,4,3,5,5,5,5,5,5,5,4.0,2.0,4.0,0
American Eskimo Dog,5,4,4,2,5,3,5,5,5,4,5,1,3,5,4,2,5,4,3,3,4,3,5,3,4,5,4.0,3.0,4.0,1
American Foxhound,1,2,2,1,4,4,4,5,5,4,3,1,5,5,5,3,2,3,3,4,5,5,5,4,5,5,3.0,3.0,4.0,0
American Hairless Terrier,4,3,3,2,1,3,4,4,3,3,1,1,5,4,4,2,3,4,3,4,3,3,4,3,3,5,3.0,2.0,3.0,1
American Leopard Hound,2,4,3,3,4,4,5,4,4,3,2,2,4,4,2,4,4,4,3,4,4,4,4,3,4,4,4.0,2.0,4.0,0
American Pit Bull Terrier,3,2,4,1,2,3,5,5,1,5,4,1,5,4,3,3,4,4,5,3,3,4,4,5,4,5,3.0,3.0,4.0,0
American Pugabull,3,3,4,1,2,3,5,4,3,3,3,3,4,2,3,3,3,3,2,4,4,2,4,4,3,5,3.0,3.0,3.0,1
American Staffordshire Terrier,2,2,3,2,2,3,4,4,2,4,2,3,4,3,2,3,4,4,5,3,4,3,3,5,3,4,3.0,2.0,3.0,2
American Water Spaniel,2,2,5,1,2,4,5,5,2,3,3,1,3,3,3,3,4,3,5,2,3,5,5,2,5,5,3.0,2.0,4.0,0
Anatolian Shepherd Dog,1,2,4,3,5,3,3,2,2,1,2,3,4,3,3,5,4,4,2,2,2,4,3,3,3,3,3.0,3.0,4.0,2
Appenzeller Sennenhunde,1,3,3,1,5,4,5,5,3,2,3,1,5,4,3,3,4,4,5,3,5,3,4,4,5,4,3.0,2.0,4.0,0
Auggie,2,3,4,3,4,3,5,5,5,4,4,1,2,3,4,3,5,5,3,3,4,3,5,4,5,5,4.0,3.0,4.0,0
Aussiedoodle,2,3,3,2,3,3,5,4,4,4,3,4,3,4,4,3,5,5,3,3,2,3,5,4,5,5,4.0,4.0,4.0,0
Aussiepom,3,2,3,2,3,3,4,3,4,4,3,2,2,4,4,3,4,4,4,2,3,2,5,3,4,5,3.0,3.0,4.0,1
Australian Cattle Dog,2,1,4,3,4,4,5,3,4,2,3,1,4,5,4,3,5,5,5,4,2,4,5,5,5,5,3.0,3.0,4.0,0
Australian Kelpie,2,2,4,2,3,5,4,2,3,2,3,1,4,3,2,3,5,5,5,4,4,4,5,3,5,4,3.0,2.0,4.0,0
Australian Retriever,1,4,3,2,4,4,4,4,3,3,3,2,3,4,4,4,4,4,2,3,2,4,5,3,5,4,3.0,3.0,4.0,0
Australian Shepherd,1,2,5,2,4,4,5,4,5,3,3,1,1,2,4,3,5,5,4,4,4,5,5,4,5,5,4.0,3.0,4.0,0
Australian Shepherd Husky,1,2,4,1,5,4,5,3,2,2,4,2,3,3,4,4,4,5,3,4,5,5,5,5,5,5,3.0,3.0,4.0,0
Australian Shepherd Lab Mix,2,2,5,4,5,4,4,4,4,4,4,2,4,4,3,4,5,5,4,3,3,5,5,5,5,5,4.0,3.0,4.0,0
Australian Shepherd Pit Bull Mix,2,3,3,2,3,3,4,4,3,3,4,2,3,4,5,4,4,4,3,4,2,3,4,3,4,4,3.0,4.0,4.0,2
Australian Stumpy Tail Cattle Dog,1,2,3,2,4,4,3,3,2,2,4,2,3,4,4,3,3,4,3,3,2,4,5,4,5,3,3.0,3.0,4.0,2
Australian Terrier,5,3,2,2,3,4,4,3,2,3,1,1,5,5,3,1,3,4,1,5,5,4,5,5,4,5,3.0,2.0,4.0,1
Azawakh,5,2,3,3,1,5,4,2,3,2,3,1,5,3,3,4,3,3,3,4,1,2,3,2,4,3,3.0,2.0,4.0,1
Barbet,3,2,3,1,4,4,5,4,4,3,2,1,1,4,3,3,4,4,2,3,3,3,5,3,3,4,3.0,2.0,4.0,1
Basenji,5,4,3,4,1,4,5,5,4,5,1,1,5,2,2,2,1,4,5,5,1,5,5,1,5,2,4.0,1.0,4.0,1
Bassador,2,2,3,3,4,4,3,3,3,3,5,4,3,3,3,4,2,3,2,4,3,3,3,2,4,3,3.0,4.0,4.0,2
Basset Fauve de Bretagne,4,4,3,3,3,1,5,4,4,3,2,1,4,5,1,2,3,5,3,3,2,1,4,2,4,3,4.0,1.0,4.0,1
Basset Retriever,3,3,2,2,4,4,4,4,3,4,2,2,4,4,4,3,4,5,3,5,2,4,4,2,4,4,4.0,3.0,4.0,0
Bavarian Mountain Scent Hound,2,3,2,2,2,3,5,4,3,2,1,2,3,4,2,3,3,4,2,4,2,2,4,2,4,4,3.0,2.0,4.0,2
Beabull,4,3,4,4,2,2,5,5,4,3,4,3,5,3,4,3,3,3,4,4,4,4,3,4,3,5,4.0,4.0,3.0,1
Beagle,4,3,4,1,2,4,5,5,5,5,3,1,4,1,5,2,1,4,3,5,5,5,4,5,4,5,4.0,3.0,3.0,0
Beaglier,5,4,4,1,2,3,5,5,5,5,3,1,4,2,5,2,2,4,3,3,4,4,3,3,4,5,4.0,3.0,3.0,1
Bearded Collie,3,4,4,2,4,3,5,4,5,4,4,1,2,3,4,3,5,4,3,3,3,5,4,4,4,5,4.0,3.0,4.0,0
Bedlington Terrier,4,4,3,3,4,3,5,4,4,5,5,1,1,4,3,3,3,5,4,5,3,4,4,2,4,5,4.0,3.0,4.0,0
Belgian Laekenois,3,3,2,2,3,3,4,4,4,3,3,3,4,3,3,4,3,4,2,4,2,3,4,3,4,4,3.0,3.0,4.0,2
Belgian Malinois,1,3,5,3,4,4,5,4,2,3,2,1,5,4,2,4,5,5,3,4,2,3,5,4,5,5,3.0,2.0,4.0,0
Belgian Sheepdog,3,3,5,3,4,3,4,5,5,4,5,1,3,3,2,4,5,5,2,5,1,4,5,3,5,5,4.0,3.0,4.0,0
Belgian Tervuren,3,3,5,1,4,3,4,3,3,3,4,1,3,3,2,4,5,5,2,2,5,4,5,3,4,5,3.0,2.0,4.0,0
Bergamasco Sheepdog,3,4,2,3,4,3,4,5,4,4,2,1,4,5,2,3,3,5,2,2,3,3,4,2,3,4,4.0,2.0,4.0,1
Berger Picard,3,4,5,3,4,3,5,5,3,2,4,1,5,5,3,4,4,4,2,3,2,2,5,3,5,5,4.0,3.0,5.0,0
Bernedoodle,3,3,4,2,5,3,5,5,4,3,1,2,3,4,3,3,4,5,4,3,3,3,4,3,3,5,4.0,2.0,4.0,1
Bernese Mountain Dog,1,2,4,1,5,1,5,5,3,5,5,4,3,1,4,5,4,4,5,5,4,3,4,3,3,4,3.0,4.0,3.0,0
Bichon Frise,5,5,5,1,3,4,5,4,4,5,2,1,1,4,4,2,5,4,3,4,2,2,5,3,3,5,4.0,2.0,4.0,1
Biewer Terrier,5,3,3,3,2,3,5,4,3,3,1,1,4,4,3,1,3,4,3,1,3,1,5,3,3,4,3.0,2.0,3.0,1
Black and Tan Coonhound,1,2,3,2,4,4,5,5,5,5,5,3,4,5,5,3,2,5,1,5,5,5,5,5,5,5,4.0,4.0,4.0,0
Black Mouth Cur,1,2,4,2,3,3,5,5,3,3,3,2,5,4,2,4,3,4,3,5,4,4,4,3,5,4,3.0,2.0,4.0,0
Black Russian Terrier,3,2,4,2,4,3,4,5,2,2,3,3,2,3,3,5,4,4,4,2,3,3,3,5,4,5,3.0,3.0,4.0,2
Bloodhound,1,2,4,2,3,3,5,5,5,5,4,5,1,3,3,4,3,4,5,3,4,5,5,4,5,3,4.0,4.0,4.0,0
Blue Lacy,1,1,4,2,4,5,4,3,2,2,3,2,5,4,2,3,5,5,4,5,5,4,5,5,5,4,3.0,2.0,4.0,0
Bluetick Coonhound,2,2,5,2,3,3,5,5,3,3,2,2,5,4,3,3,2,4,3,4,4,5,5,4,5,5,3.0,2.0,4.0,0
Bocker,5,3,5,1,3,4,5,4,4,4,3,1,3,3,4,2,4,4,4,5,5,5,4,3,4,4,4.0,3.0,3.0,1
Boerboel,1,1,3,2,3,4,4,4,2,2,3,4,4,4,3,5,2,4,3,3,3,4,3,4,4,4,3.0,3.0,4.0,2
Boglen Terrier,4,4,4,2,2,3,5,5,5,5,2,1,4,3,3,2,2,2,4,4,4,5,4,5,4,5,4.0,2.0,3.0,1
Bohemian Shepherd,2,3,4,2,4,3,4,4,4,3,4,1,4,4,3,3,4,5,2,2,2,3,4,3,4,5,3.0,3.0,4.0,0
Bolognese,5,3,5,2,2,3,5,5,5,5,1,1,1,5,3,1,5,4,4,5,4,1,3,3,4,3,4.0,2.0,3.0,1
Borador,3,3,2,2,3,3,5,4,4,4,4,3,3,3,4,4,4,5,3,3,2,3,4,3,4,5,4.0,4.0,4.0,0
Border Collie,2,2,5,1,4,4,5,4,3,5,3,1,3,2,3,3,5,5,3,3,2,3,5,3,5,5,4.0,2.0,4.0,0
Border Sheepdog,2,3,2,2,4,2,5,4,3,3,3,1,3,4,2,3,4,5,4,3,4,2,5,3,5,4,3.0,2.0,4.0,0
Border Terrier,4,3,3,1,4,3,5,4,2,5,3,1,2,4,5,2,3,5,5,5,1,4,4,4,5,5,4.0,3.0,4.0,0
Bordoodle,4,4,3,3,4,4,4,5,3,2,2,2,4,4,3,3,4,5,3,2,2,3,3,2,3,4,4.0,2.0,3.0,1
Borzoi,5,3,5,1,4,3,4,3,4,4,5,1,4,4,2,5,3,4,3,5,2,4,2,2,2,3,4.0,3.0,3.0,1
BoShih,5,4,3,1,2,2,4,2,3,4,2,1,5,3,3,2,2,3,1,1,2,2,3,2,3,5,3.0,2.0,3.0,1
Bossie,2,2,3,5,3,3,4,4,4,4,2,1,3,3,3,3,4,4,3,3,3,5,4,4,5,5,4.0,2.0,4.0,0
Boston Boxer,4,3,3,2,3,3,4,4,4,2,3,3,4,4,4,3,3,4,3,3,3,2,4,3,4,5,3.0,3.0,4.0,1
Boston Terrier,5,4,5,3,3,2,4,5,5,4,2,1,5,4,3,2,4,4,2,2,3,5,4,5,4,5,4.0,2.0,4.0,1
Boston Terrier Pekingese Mix,4,3,3,2,2,2,4,4,3,3,2,2,4,4,4,1,2,4,3,2,4,2,3,3,3,4,3.0,3.0,3.0,1
Bouvier des Flandres,3,2,4,2,4,2,5,5,2,2,1,1,2,3,4,4,5,4,2,2,4,2,4,5,4,4,3.0,2.0,4.0,2
Boxador,2,2,3,1,2,2,5,4,4,4,4,2,5,2,4,4,5,5,3,2,3,3,5,5,5,5,4.0,3.0,4.0,0
Boxer,4,3,4,1,2,1,5,4,3,4,4,2,5,2,4,3,4,4,2,3,3,3,5,5,5,5,4.0,3.0,4.0,0
Boxerdoodle,1,3,3,2,3,3,4,3,4,3,2,2,3,3,4,3,4,4,2,3,2,4,4,4,4,5,3.0,3.0,4.0,0
Boxmatian,1,2,3,2,2,4,4,3,2,1,3,2,3,5,4,5,3,4,4,3,3,4,5,4,5,4,3.0,3.0,5.0,2
Boxweiler,2,3,4,2,3,2,5,4,4,2,3,2,3,3,4,4,4,4,2,2,3,1,4,3,4,4,3.0,3.0,4.0,2
Boykin Spaniel,1,3,4,3,3,4,5,5,4,3,4,1,1,2,4,3,4,4,4,2,3,4,5,5,5,4,4.0,3.0,4.0,0
Bracco Italiano,1,2,4,3,3,3,5,4,5,3,3,2,5,2,3,4,3,4,2,5,2,3,4,4,5,4,3.0,3.0,4.0,0
Braque du Bourbonnais,1,3,3,2,2,3,5,4,4,4,2,1,4,4,1,3,4,4,3,4,3,2,5,2,5,3,3.0,1.0,4.0,0
Briard,3,3,4,3,4,3,4,5,5,2,1,1,1,3,3,4,4,4,2,3,4,5,4,4,4,4,4.0,2.0,4.0,0
Brittany,1,3,5,1,4,3,5,5,5,4,3,5,3,4,3,3,3,5,3,5,3,4,5,3,5,5,4.0,4.0,4.0,0
Broholmer,2,4,3,3,3,3,5,4,3,3,3,2,4,4,3,5,4,4,3,2,3,2,3,3,3,3,3.0,3.0,4.0,2
Brussels Griffon,5,2,5,1,1,2,5,4,4,3,3,3,3,3,3,1,3,4,3,1,4,5,5,3,4,5,4.0,3.0,3.0,1
Bugg,5,4,3,2,2,3,4,3,2,3,2,2,4,4,4,2,3,4,4,3,4,2,4,3,2,4,3.0,3.0,3.0,1
Bull Arab,2,1,2,3,4,4,3,3,1,2,2,2,4,4,3,4,2,4,3,5,2,4,4,5,4,2,2.0,2.0,4.0,2
Bull-Pei,4,2,3,3,1,1,3,2,2,2,4,3,4,3,4,3,3,2,4,2,2,1,2,2,2,2,2.0,4.0,2.0,2
Bull Terrier,4,3,5,2,1,4,5,5,4,5,3,1,5,4,5,2,5,4,4,4,1,5,4,5,5,5,4.0,3.0,4.0,0
Bullador,2,2,4,2,2,2,4,4,4,4,4,4,4,3,5,4,4,4,2,4,4,3,4,4,4,4,3.0,4.0,4.0,0
Bullboxer Pit,1,2,3,2,2,2,4,4,2,2,4,4,4,4,4,3,2,4,4,5,4,3,5,5,5,4,3.0,4.0,4.0,2
Bulldog,5,4,4,3,1,1,5,4,2,5,3,5,5,4,5,2,3,2,2,2,4,1,2,3,3,4,3.0,4.0,3.0,1
Bullmastiff,3,2,4,2,4,2,5,5,4,3,1,5,5,2,5,5,3,3,3,3,4,3,2,4,3,5,3.0,4.0,3.0,2
Bullmatian,2,1,3,3,2,2,4,5,4,3,2,3,4,4,4,3,1,4,3,3,2,3,5,4,4,4,3.0,3.0,4.0,2
Cairn Terrier,5,4,3,1,4,4,5,5,4,4,3,1,5,4,3,1,2,5,3,4,4,3,5,4,4,5,4.0,2.0,4.0,1
Canaan Dog,4,2,4,3,3,5,4,2,3,2,4,1,5,5,2,3,5,4,3,3,3,2,4,3,3,4,3.0,2.0,4.0,1
Cane Corso,1,1,3,1,3,4,4,2,3,2,3,4,5,3,4,4,4,5,2,5,3,2,4,3,5,2,2.0,4.0,4.0,2
Cardigan Welsh Corgi,4,4,4,3,4,3,5,4,3,3,4,1,3,4,4,2,4,5,2,4,4,3,3,3,3,4,4.0,3.0,3.0,1
Catahoula Bulldog,1,1,2,3,1,5,4,3,2,1,1,1,5,4,3,4,2,3,4,5,3,3,5,5,5,4,2.0,2.0,4.0,2
Catahoula Leopard Dog,1,1,2,2,3,3,5,3,1,1,3,1,5,3,3,4,2,3,3,1,3,3,4,3,5,2,2.0,2.0,4.0,2
Caucasian Shepherd Dog,2,1,2,3,5,2,4,2,2,2,4,4,2,3,4,5,2,4,4,3,3,2,2,4,2,3,2.0,4.0,3.0,2
Cav-a-Jack,4,4,3,1,3,3,4,4,4,4,2,2,4,3,4,2,4,4,3,4,3,3,4,3,4,5,4.0,3.0,3.0,1
Cavachon,5,5,5,1,3,3,5,5,5,5,2,1,2,4,4,2,4,4,3,4,3,2,4,3,4,5,4.0,2.0,4.0,1
Cavador,3,5,4,2,3,3,5,5,4,3,3,2,4,4,4,3,4,4,2,3,3,3,4,3,4,5,4.0,3.0,4.0,1
Cavalier King Charles Spaniel,5,5,5,1,3,2,5,5,5,5,3,1,4,4,4,2,4,4,3,3,2,2,3,2,4,5,4.0,3.0,3.0,1
Cavapoo,3,3,3,2,4,3,5,5,4,4,2,1,3,3,4,2,4,4,3,3,2,3,3,2,3,5,4.0,2.0,3.0,1
Central Asian Shepherd Dog,1,1,4,2,5,2,3,3,4,2,4,5,5,5,3,4,2,5,2,1,3,2,3,3,4,2,2.0,4.0,4.0,2
Cesky Terrier,5,4,4,3,3,3,5,3,2,3,1,1,4,5,4,2,4,3,3,2,3,3,2,3,3,5,4.0,2.0,3.0,1
Chabrador,4,2,4,3,4,1,4,4,2,2,4,3,4,4,3,3,2,4,4,4,3,3,3,4,3,4,3.0,3.0,3.0,2
Cheagle,4,4,4,1,1,2,5,3,3,2,3,1,5,3,4,2,2,4,3,4,4,3,4,4,3,4,3.0,3.0,3.0,1
Chesapeake Bay Retriever,1,1,3,2,4,4,5,3,1,1,5,3,5,4,4,3,3,4,3,3,3,4,5,5,5,4,2.0,4.0,4.0,2
Chi Chi,4,2,4,2,2,3,3,3,2,3,2,1,4,4,4,2,3,4,3,3,4,2,4,4,3,4,3.0,2.0,3.0,1
Chi-Poo,5,5,5,4,2,3,5,5,3,3,2,1,3,2,3,2,5,5,3,3,3,3,3,2,2,4,4.0,2.0,2.0,1
Chigi,3,4,5,2,3,2,5,5,2,2,4,1,5,3,3,1,4,4,2,3,2,3,4,4,4,4,3.0,3.0,3.0,1
