,Name,Adapts Well To Apartment Living,Good For Novice Owners,Sensitivity Level,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,Affectionate With Family,Kid-Friendly,Dog Friendly,Friendly Toward Strangers,Amount Of Shedding,Drooling Potential,Easy To Groom,General Health,Potential For Weight Gain,Size,Easy To Train,Intelligence,Potential For Mouthiness,Prey Drive,Tendency To Bark Or Howl,Wanderlust Potential,Energy Level,Intensity,Exercise Needs,Potential For Playfulness,Behaviour,b_physical,g_physical,Groups
98,Bulldog,5,4,4,3,1,1,5,4,2,5,3,5,5,4,5,2,3,2,2,2,4,1,2,3,3,4,3.0,4.0,3.0,1
99,Bullmastiff,3,2,4,2,4,2,5,5,4,3,1,5,5,2,5,5,3,3,3,3,4,3,2,4,3,5,3.0,4.0,3.0,2
100,Bullmatian,2,1,3,3,2,2,4,5,4,3,2,3,4,4,4,3,1,4,3,3,2,3,5,4,4,4,3.0,3.0,4.0,2
102,Canaan Dog,4,2,4,3,3,5,4,2,3,2,4,1,5,5,2,3,5,4,3,3,3,2,4,3,3,4,3.0,2.0,4.0,1
19,American Staffordshire Terrier,2,2,3,2,2,3,4,4,2,4,2,3,4,3,2,3,4,4,5,3,4,3,3,5,3,4,3.0,2.0,3.0,2
18,American Pugabull,3,3,4,1,2,3,5,4,3,3,3,3,4,2,3,3,3,3,2,4,4,2,4,4,3,5,3.0,3.0,3.0,1
17,American Pit Bull Terrier,3,2,4,1,2,3,5,5,1,5,4,1,5,4,3,3,4,4,5,3,3,4,4,5,4,5,3.0,3.0,4.0,0
15,American Hairless Terrier,4,3,3,2,1,3,4,4,3,3,1,1,5,4,4,2,3,4,3,4,3,3,4,3,3,5,3.0,2.0,3.0,1
14,American Foxhound,1,2,2,1,4,4,4,5,5,4,3,1,5,5,5,3,2,3,3,4,5,5,5,4,5,5,3.0,3.0,4.0,0
115,Chabrador,4,2,4,3,4,1,4,4,2,2,4,3,4,4,3,3,2,4,4,4,3,3,3,4,3,4,3.0,3.0,3.0,2
116,Cheagle,4,4,4,1,1,2,5,3,3,2,3,1,5,3,4,2,2,4,3,4,4,3,4,4,3,4,3.0,3.0,3.0,1
239,Labernese,2,4,4,1,4,2,4,5,4,3,4,3,3,2,4,4,3,4,3,3,2,4,4,2,4,5,3.0,4.0,4.0,0
118,Chi Chi,4,2,4,2,2,3,3,3,2,3,2,1,4,4,4,2,3,4,3,3,4,2,4,4,3,4,3.0,2.0,3.0,1
120,Chigi,3,4,5,2,3,2,5,5,2,2,4,1,5,3,3,1,4,4,2,3,2,3,4,4,4,4,3.0,3.0,3.0,1
121,Chihuahua,5,4,5,1,1,2,5,5,2,2,2,1,5,2,3,1,4,4,3,3,3,2,3,2,1,4,3.0,2.0,2.0,1
122,Chilier,4,2,4,2,2,2,4,4,4,3,2,3,4,4,3,2,2,4,3,3,3,2,4,4,3,4,3.0,3.0,3.0,1
123,Chinese Crested,5,3,5,1,1,3,4,5,4,4,2,1,2,5,2,2,4,3,4,3,3,1,2,1,2,3,3.0,2.0,3.0,1
11,American Bulldog,1,1,4,1,2,2,5,4,2,2,1,4,4,3,2,4,4,3,2,4,2,3,4,4,4,4,3.0,2.0,4.0,2
126,Chion,4,3,3,2,2,3,5,3,3,2,2,2,3,4,4,2,3,3,4,3,4,1,4,3,2,4,3.0,3.0,3.0,1
84,Boxweiler,2,3,4,2,3,2,5,4,4,2,3,2,3,3,4,4,4,4,2,2,3,1,4,3,4,4,3.0,3.0,4.0,2
83,Boxmatian,1,2,3,2,2,4,4,3,2,1,3,2,3,5,4,5,3,4,4,3,3,4,5,4,5,4,3.0,3.0,5.0,2
82,Boxerdoodle,1,3,3,2,3,3,4,3,4,3,2,2,3,3,4,3,4,4,2,3,2,4,4,4,4,5,3.0,3.0,4.0,0
48,Belgian Malinois,1,3,5,3,4,4,5,4,2,3,2,1,5,4,2,4,5,5,3,4,2,3,5,4,5,5,3.0,2.0,4.0,0
27,Australian Kelpie,2,2,4,2,3,5,4,2,3,2,3,1,4,3,2,3,5,5,5,4,4,4,5,3,5,4,3.0,2.0,4.0,0
28,Australian Retriever,1,4,3,2,4,4,4,4,3,3,3,2,3,4,4,4,4,4,2,3,2,4,5,3,5,4,3.0,3.0,4.0,0
30,Australian Shepherd Husky,1,2,4,1,5,4,5,3,2,2,4,2,3,3,4,4,4,5,3,4,5,5,5,5,5,5,3.0,3.0,4.0,0
32,Australian Shepherd Pit Bull Mix,2,3,3,2,3,3,4,4,3,3,4,2,3,4,5,4,4,4,3,4,2,3,4,3,4,4,3.0,4.0,4.0,2
33,Australian Stumpy Tail Cattle Dog,1,2,3,2,4,4,3,3,2,2,4,2,3,4,4,3,3,4,3,3,2,4,5,4,5,3,3.0,3.0,4.0,2
34,Australian Terrier,5,3,2,2,3,4,4,3,2,3,1,1,5,5,3,1,3,4,1,5,5,4,5,5,4,5,3.0,2.0,4.0,1
35,Azawakh,5,2,3,3,1,5,4,2,3,2,3,1,5,3,3,4,3,3,3,4,1,2,3,2,4,3,3.0,2.0,4.0,1
36,Barbet,3,2,3,1,4,4,5,4,4,3,2,1,1,4,3,3,4,4,2,3,3,3,5,3,3,4,3.0,2.0,4.0,1
38,Bassador,2,2,3,3,4,4,3,3,3,3,5,4,3,3,3,4,2,3,2,4,3,3,3,2,4,3,3.0,4.0,4.0,2
22,Appenzeller Sennenhunde,1,3,3,1,5,4,5,5,3,2,3,1,5,4,3,3,4,4,5,3,5,3,4,4,5,4,3.0,2.0,4.0,0
41,Bavarian Mountain Scent Hound,2,3,2,2,2,3,5,4,3,2,1,2,3,4,2,3,3,4,2,4,2,2,4,2,4,4,3.0,2.0,4.0,2
47,Belgian Laekenois,3,3,2,2,3,3,4,4,4,3,3,3,4,3,3,4,3,4,2,4,2,3,4,3,4,4,3.0,3.0,4.0,2
50,Belgian Tervuren,3,3,5,1,4,3,4,3,3,3,4,1,3,3,2,4,5,5,2,2,5,4,5,3,4,5,3.0,2.0,4.0,0
79,Bouvier des Flandres,3,2,4,2,4,2,5,5,2,2,1,1,2,3,4,4,5,4,2,2,4,2,4,5,4,4,3.0,2.0,4.0,2
54,Bernese Mountain Dog,1,2,4,1,5,1,5,5,3,5,5,4,3,1,4,5,4,4,5,5,4,3,4,3,3,4,3.0,4.0,3.0,0
56,Biewer Terrier,5,3,3,3,2,3,5,4,3,3,1,1,4,4,3,1,3,4,3,1,3,1,5,3,3,4,3.0,2.0,3.0,1
58,Black Mouth Cur,1,2,4,2,3,3,5,5,3,3,3,2,5,4,2,4,3,4,3,5,4,4,4,3,5,4,3.0,2.0,4.0,0
59,Black Russian Terrier,3,2,4,2,4,3,4,5,2,2,3,3,2,3,3,5,4,4,4,2,3,3,3,5,4,5,3.0,3.0,4.0,2
61,Blue Lacy,1,1,4,2,4,5,4,3,2,2,3,2,5,4,2,3,5,5,4,5,5,4,5,5,5,4,3.0,2.0,4.0,0
62,Bluetick Coonhound,2,2,5,2,3,3,5,5,3,3,2,2,5,4,3,3,2,4,3,4,4,5,5,4,5,5,3.0,2.0,4.0,0
64,Boerboel,1,1,3,2,3,4,4,4,2,2,3,4,4,4,3,5,2,4,3,3,3,4,3,4,4,4,3.0,3.0,4.0,2
66,Bohemian Shepherd,2,3,4,2,4,3,4,4,4,3,4,1,4,4,3,3,4,5,2,2,2,3,4,3,4,5,3.0,3.0,4.0,0
70,Border Sheepdog,2,3,2,2,4,2,5,4,3,3,3,1,3,4,2,3,4,5,4,3,4,2,5,3,5,4,3.0,2.0,4.0,0
74,BoShih,5,4,3,1,2,2,4,2,3,4,2,1,5,3,3,2,2,3,1,1,2,2,3,2,3,5,3.0,2.0,3.0,1
76,Boston Boxer,4,3,3,2,3,3,4,4,4,2,3,3,4,4,4,3,3,4,3,3,3,2,4,3,4,5,3.0,3.0,4.0,1
78,Boston Terrier Pekingese Mix,4,3,3,2,2,2,4,4,3,3,2,2,4,4,4,1,2,4,3,2,4,2,3,3,3,4,3.0,3.0,3.0,1
127,Chipin,5,4,5,1,1,2,5,4,2,2,2,1,5,3,4,1,4,3,2,3,2,3,4,3,2,5,3.0,2.0,2.0,1
128,Chiweenie,5,3,4,2,1,4,4,2,3,2,1,1,5,3,4,1,2,4,2,3,5,2,4,2,4,5,3.0,2.0,3.0,1
129,Chorkie,5,5,5,1,1,2,4,3,3,2,2,1,3,3,2,1,3,3,2,2,4,2,4,3,3,5,3.0,2.0,3.0,1
10,Alaskan Malamute,1,1,4,1,5,2,4,3,2,5,5,1,1,4,3,4,4,4,3,4,5,5,5,5,5,5,3.0,3.0,4.0,0
1,Affenhuahua,4,4,4,1,2,3,4,3,2,2,2,1,4,4,5,1,3,3,4,2,4,2,4,3,3,3,3.0,3.0,3.0,1
191,Golden Cocker Retriever,1,4,4,1,2,4,5,4,4,3,4,1,4,4,4,3,4,4,2,2,3,4,5,2,4,5,3.0,3.0,4.0,0
7,Akita Pit,3,1,2,4,3,3,4,3,3,2,3,3,4,4,4,4,3,4,3,4,3,1,3,4,3,3,3.0,3.0,4.0,2
192,Golden Mountain Dog,1,2,2,2,5,1,5,5,4,3,4,4,2,3,4,5,4,4,2,2,3,4,4,2,5,5,3.0,4.0,4.0,2
198,Gordon Setter,2,3,4,1,4,3,5,3,2,3,5,3,2,4,3,3,5,5,3,4,5,4,5,2,5,5,3.0,4.0,4.0,0
199,Great Dane,1,1,5,1,2,3,5,5,5,5,5,4,5,4,2,5,5,3,2,3,4,3,5,5,5,5,3.0,4.0,5.0,0
200,Great Pyrenees,1,1,4,3,5,3,5,4,4,3,5,2,4,2,4,5,1,4,2,5,5,5,5,5,5,4,3.0,4.0,4.0,0
201,Greater Swiss Mountain Dog,1,2,4,3,5,1,5,5,5,3,3,1,5,2,4,5,3,3,3,4,4,3,5,4,3,5,3.0,3.0,4.0,0
204,Hamiltonstovare,3,2,4,3,3,3,5,4,3,3,1,1,4,4,3,3,3,4,2,5,3,2,5,3,4,4,3.0,2.0,4.0,1
205,Hanoverian Scenthound,2,1,4,3,3,3,5,5,4,3,2,1,4,4,3,4,2,4,2,4,3,2,4,3,4,4,3.0,2.0,4.0,2
209,Hokkaido,3,2,2,3,5,2,4,4,3,3,4,2,1,5,3,3,3,4,3,4,3,3,3,2,3,3,3.0,3.0,4.0,2
212,Huskita,2,1,4,1,5,3,5,2,2,3,4,3,1,4,3,4,2,3,3,4,5,5,4,4,5,5,3.0,3.0,4.0,2
213,Huskydoodle,2,2,3,2,4,3,4,4,4,3,3,2,3,4,4,3,3,5,3,4,2,2,5,4,5,4,3.0,3.0,4.0,0
215,Icelandic Sheepdog,1,1,3,2,5,3,4,4,2,2,5,1,1,3,3,3,3,4,3,4,1,4,4,5,4,4,3.0,3.0,4.0,2
216,Irish Red And White Setter,1,3,4,1,4,3,5,4,4,4,3,1,3,2,2,3,4,4,4,3,3,4,5,5,5,5,3.0,2.0,4.0,0
218,Irish Terrier,3,2,3,2,4,4,5,5,1,3,4,1,2,5,3,3,1,4,1,2,4,3,5,4,4,5,3.0,3.0,4.0,2
226,Japanese Chin,5,4,3,1,3,2,3,3,3,4,3,1,3,3,3,1,3,3,4,3,3,1,2,1,2,4,3.0,2.0,2.0,1
228,Kai Ken,2,2,2,3,4,3,4,4,3,2,4,2,2,4,3,3,3,5,2,5,2,3,5,4,5,3,3.0,3.0,4.0,2
4,Akbash,1,2,3,4,4,2,5,4,3,2,4,2,3,4,4,4,3,4,3,1,3,1,2,2,2,3,3.0,3.0,3.0,2
229,Karelian Bear Dog,2,1,4,2,5,3,4,3,1,2,3,1,4,4,2,3,2,4,4,5,4,5,4,5,4,4,3.0,2.0,4.0,2
231,Kerry Blue Terrier,3,2,3,3,4,3,4,4,2,5,1,1,2,3,3,3,4,4,4,3,4,3,4,4,5,4,3.0,2.0,4.0,0
233,Kishu Ken,3,2,3,3,5,3,3,3,2,2,4,2,3,4,3,3,4,5,2,4,1,2,3,3,4,2,3.0,3.0,4.0,2
234,Komondor,2,1,4,1,4,3,5,3,1,1,3,2,2,2,3,4,4,4,3,2,5,4,2,1,4,4,3.0,3.0,3.0,2
235,Kooikerhondje,4,3,4,2,4,3,3,2,2,2,3,1,2,5,3,3,1,4,3,3,3,3,4,5,5,4,3.0,2.0,4.0,2
2,Affenpinscher,5,4,3,1,3,3,5,1,4,3,1,1,3,4,3,1,2,4,4,3,2,2,4,3,3,4,3.0,2.0,3.0,1
189,Goberian,1,2,3,2,5,2,4,4,4,2,2,1,5,4,4,4,2,5,3,4,2,4,5,4,5,4,3.0,2.0,4.0,0
187,Giant Schnauzer,1,1,4,2,4,2,5,3,3,2,4,1,2,4,3,4,5,4,3,4,4,4,5,2,5,5,3.0,3.0,4.0,0
186,German Wirehaired Pointer,2,3,4,2,3,4,5,3,3,2,2,2,4,4,3,4,4,5,4,4,3,5,5,4,5,5,3.0,2.0,4.0,0
185,German Spitz,4,2,3,3,3,2,5,4,3,3,4,1,2,4,4,1,2,4,4,5,4,2,5,3,4,4,3.0,3.0,4.0,1
131,Chow Shepherd,3,2,4,2,5,4,3,3,2,2,5,2,1,3,2,4,3,3,3,3,2,3,5,4,5,4,3.0,3.0,4.0,2
132,Chug,5,3,3,3,2,3,5,4,3,3,4,2,4,4,4,1,3,3,3,2,2,2,4,3,3,4,3.0,3.0,3.0,1
133,Chusky,2,2,3,3,5,2,4,4,3,3,5,2,2,3,3,3,3,4,3,3,4,2,4,3,4,4,3.0,3.0,4.0,2
134,Cirneco dell’Etna,4,3,3,3,3,3,5,5,4,3,2,1,4,5,2,3,3,3,2,4,3,1,4,2,3,4,3.0,2.0,4.0,1
140,Corgi Inu,4,3,3,3,4,2,3,3,3,2,5,2,2,3,3,2,4,4,3,3,3,2,4,3,4,4,3.0,3.0,3.0,2
142,Corman Shepherd,2,2,3,3,4,3,4,4,4,3,5,2,3,3,4,3,4,5,3,3,3,2,4,3,4,4,3.0,4.0,4.0,2
144,Croatian Sheepdog,3,2,3,3,4,2,4,3,2,2,5,3,2,4,3,3,3,4,4,3,4,3,4,4,4,4,3.0,4.0,4.0,2
146,Dachsador,4,2,3,2,3,3,4,4,3,4,2,1,4,4,4,2,3,4,2,4,2,4,4,3,4,4,3.0,2.0,4.0,1
149,Dandie Dinmont Terrier,4,4,3,2,3,3,5,4,3,3,3,1,2,3,4,1,2,3,3,4,2,3,3,3,2,4,3.0,3.0,2.0,1
150,Daniff,2,2,3,1,4,3,5,4,4,3,2,4,1,3,3,5,4,4,2,2,1,2,3,4,4,4,3.0,3.0,4.0,2
9,Alaskan Klee Kai,3,2,4,2,5,2,4,3,2,2,4,2,4,4,2,2,4,4,2,5,3,4,4,2,4,4,3.0,3.0,4.0,2
152,Dogue de Bordeaux,5,1,4,2,3,2,5,5,1,1,3,5,5,2,4,4,2,3,4,4,2,1,2,2,5,3,3.0,4.0,3.0,2
153,Dorgi,4,4,3,1,4,3,4,4,4,3,2,2,4,4,4,2,3,4,4,3,3,3,4,4,4,5,3.0,3.0,4.0,1
156,Drentsche Patrijshond,3,2,4,3,4,3,5,4,4,3,4,3,3,4,2,3,2,4,3,4,2,1,5,3,4,4,3.0,3.0,4.0,2
158,Dutch Shepherd,3,3,3,2,4,4,4,4,4,2,4,2,3,4,2,3,5,4,2,3,2,2,4,3,4,4,3.0,3.0,4.0,2
160,English Foxhound,1,2,3,4,3,3,4,4,5,3,3,1,5,4,2,3,3,3,4,5,4,5,5,4,5,5,3.0,2.0,4.0,0
163,English Toy Spaniel,4,4,4,1,2,2,5,1,4,4,5,2,4,2,3,2,3,3,4,4,3,2,3,3,2,4,3.0,3.0,2.0,1
164,Entlebucher Mountain Dog,1,2,4,3,4,2,5,5,3,2,3,1,5,3,3,3,3,4,4,4,5,3,5,4,5,5,3.0,2.0,4.0,0
165,Estrela Mountain Dog,1,3,2,3,4,3,5,5,3,2,4,3,2,4,3,4,4,5,2,1,3,1,3,3,3,3,3.0,3.0,4.0,2
166,Eurasier,4,3,2,1,4,3,3,5,4,2,4,3,3,4,2,4,4,4,2,1,2,1,3,2,3,3,3.0,3.0,4.0,2
8,Akita Shepherd,3,3,2,3,4,3,4,3,3,3,4,2,3,3,3,4,4,4,2,3,1,2,3,3,4,3,3.0,3.0,4.0,2
174,French Bullhuahua,4,3,3,2,2,4,4,3,2,3,3,2,4,4,5,1,3,3,4,3,4,2,3,3,3,4,3.0,3.0,3.0,1
179,German Pinscher,3,3,4,3,3,4,5,3,2,2,3,1,5,4,3,3,4,5,3,5,3,4,5,3,5,5,3.0,2.0,4.0,0
181,German Shepherd Pit Bull,1,1,4,1,3,3,5,5,4,4,5,1,5,4,4,4,5,5,5,4,4,3,5,5,5,5,3.0,3.0,4.0,0
182,German Shepherd Rottweiler Mix,3,4,3,3,4,2,4,4,3,3,5,3,3,3,4,4,3,4,3,3,3,2,4,3,4,4,3.0,4.0,4.0,2
26,Australian Cattle Dog,2,1,4,3,4,4,5,3,4,2,3,1,4,5,4,3,5,5,5,4,2,4,5,5,5,5,3.0,3.0,4.0,0
5,Akita,2,2,5,1,5,2,5,1,1,2,5,5,1,4,4,4,2,3,3,4,5,4,4,3,4,5,2.0,5.0,4.0,2
6,Akita Chow,2,1,4,2,5,2,1,1,1,2,4,3,1,2,4,4,2,4,3,4,2,3,4,4,4,2,2.0,4.0,4.0,2
117,Chesapeake Bay Retriever,1,1,3,2,4,4,5,3,1,1,5,3,5,4,4,3,3,4,3,3,3,4,5,5,5,4,2.0,4.0,4.0,2
351,Staffy Bull Bullmastiff,4,1,3,2,3,1,5,4,1,1,3,2,4,3,2,4,1,3,3,2,1,2,1,4,1,3,2.0,2.0,2.0,2
93,Bull Arab,2,1,2,3,4,4,3,3,1,2,2,2,4,4,3,4,2,4,3,5,2,4,4,5,4,2,2.0,2.0,4.0,2
236,Kuvasz,1,1,5,1,5,2,5,1,2,1,4,3,4,4,4,5,2,4,1,1,3,3,4,4,5,4,2.0,4.0,4.0,2
250,Leonberger,1,1,4,2,5,1,5,4,3,2,5,3,4,1,4,5,2,3,4,4,3,2,4,4,4,4,2.0,4.0,4.0,2
258,Maremma Sheepdog,1,1,4,2,4,2,4,4,4,1,5,3,2,5,5,4,1,5,2,1,2,2,4,4,4,2,2.0,4.0,4.0,2
211,Hovawart,1,2,3,2,4,3,4,4,2,2,3,1,4,4,3,4,2,4,2,2,2,2,4,4,4,4,2.0,2.0,4.0,2
268,Neapolitan Mastiff,2,1,4,1,1,2,5,4,2,1,3,5,3,2,5,5,3,3,2,1,1,1,3,1,3,4,2.0,4.0,3.0,2
168,Fila Brasileiro,1,1,3,3,2,3,3,3,2,1,2,3,4,3,4,5,2,4,3,5,3,3,4,4,4,2,2.0,3.0,4.0,2
151,Dogo Argentino,1,1,3,2,2,4,4,2,2,2,1,3,4,3,2,4,2,3,2,5,2,4,4,4,4,3,2.0,2.0,4.0,2
130,Chow Chow,3,2,2,5,5,2,2,1,1,1,1,3,1,2,4,4,2,1,5,2,1,2,2,2,2,1,2.0,3.0,2.0,2
124,Chinese Shar-Pei,4,2,2,4,2,1,2,2,1,2,2,2,5,1,4,3,3,2,5,2,5,2,2,1,3,1,2.0,3.0,2.0,2
113,Central Asian Shepherd Dog,1,1,4,2,5,2,3,3,4,2,4,5,5,5,3,4,2,5,2,1,3,2,3,3,4,2,2.0,4.0,4.0,2
107,Caucasian Shepherd Dog,2,1,2,3,5,2,4,2,2,2,4,4,2,3,4,5,2,4,4,3,3,2,2,4,2,3,2.0,4.0,3.0,2
106,Catahoula Leopard Dog,1,1,2,2,3,3,5,3,1,1,3,1,5,3,3,4,2,3,3,1,3,3,4,3,5,2,2.0,2.0,4.0,2
105,Catahoula Bulldog,1,1,2,3,1,5,4,3,2,1,1,1,5,4,3,4,2,3,4,5,3,3,5,5,5,4,2.0,2.0,4.0,2
103,Cane Corso,1,1,3,1,3,4,4,2,3,2,3,4,5,3,4,4,4,5,2,5,3,2,4,3,5,2,2.0,4.0,4.0,2
94,Bull-Pei,4,2,3,3,1,1,3,2,2,2,4,3,4,3,4,3,3,2,4,2,2,1,2,2,2,2,2.0,4.0,2.0,2
0,Afador,1,1,3,3,4,2,4,2,3,1,4,3,2,3,4,4,1,5,4,4,4,4,4,4,4,3,2.0,4.0,4.0,2
